test_name,scene,variable,value,render_mode,N,K,styles_per_object,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,p99_cpu_ms,max_cpu_ms,std_cpu_ms,mean_gpu_ms,median_gpu_ms,p95_gpu_ms,p99_gpu_ms,max_gpu_ms,std_gpu_ms
StackedStylesScaling,TestScene2,StylesPerObject,4,Fullscreen,32,32,4,3.484930,3.196000,4.630185,4.710221,6.931667,0.606391,8.541778,8.693104,9.761791,10.004110,10.549125,0.778424
StackedStylesScaling,TestScene2,StylesPerObject,4,CPU,32,32,4,1.668909,1.496479,2.878113,3.702645,8.367875,0.623421,3.376303,3.081291,4.672029,5.494652,7.700750,0.825036
StackedStylesScaling,TestScene2,StylesPerObject,4,GPU,32,32,4,1.590809,1.469209,2.806966,2.977454,9.809166,0.570965,3.433338,3.094270,4.749333,4.903850,6.686749,0.763117
StackedStylesScaling,TestScene2,StylesPerObject,32,Fullscreen,32,32,32,8.867636,9.401146,9.670213,9.802254,10.149209,0.716898,23.766398,23.697541,25.373752,25.697373,26.024125,0.904340
StackedStylesScaling,TestScene2,StylesPerObject,32,CPU,32,32,32,35.107647,1.895396,3.417052,3.650335,3.202041,0.385757,4.173071,3.795875,5.353319,5.619036,5.856333,0.430400
StackedStylesScaling,TestScene2,StylesPerObject,32,GPU,32,32,32,1.985581,1.845792,3.176369,3.394097,3.564791,0.454393,4.472623,4.152125,5.625252,5.795046,5.881875,0.718092
StackedStylesScaling,TestScene2,StylesPerObject,0,Fullscreen,32,32,0,1.138097,1.074959,1.879030,2.369095,2.610375,0.307007,2.365349,2.156896,3.543193,3.712819,3.746750,0.524787
StackedStylesScaling,TestScene2,StylesPerObject,0,CPU,32,32,0,1.138104,1.074459,1.862836,2.373130,2.499292,0.301364,2.357942,2.157000,3.582612,3.729169,3.966916,0.534855
StackedStylesScaling,TestScene2,StylesPerObject,0,GPU,32,32,0,1.152570,1.075896,1.917459,2.446446,2.951667,0.319294,2.323184,2.151270,3.560708,3.764588,3.954624,0.551650
StackedStylesScaling,TestScene2,StylesPerObject,16,Fullscreen,32,32,16,6.287426,5.738271,7.527012,7.741315,9.997916,0.808430,16.840319,16.741187,18.240464,18.789820,20.455916,0.702853
StackedStylesScaling,TestScene2,StylesPerObject,16,CPU,32,32,16,1.796905,1.661729,3.012331,3.258093,6.314333,0.500234,3.711711,3.429958,5.001491,5.218640,5.331124,0.773337
StackedStylesScaling,TestScene2,StylesPerObject,16,GPU,32,32,16,1.731568,1.641563,2.922698,3.074606,4.544542,0.446849,3.780555,3.435687,4.982738,5.134463,5.409999,0.700949
